Revenue,Increase,Date,Open,Close,High,Low
FALSE,-0.0033,8/24/2026,26065.32,25980.19,26109.96,25910.82
FALSE,-0.0007,8/21/2026,26198.83,26180.45,26269.85,26049.3
FALSE,-0.0055,8/20/2026,26211.52,26067.17,26263.47,26023.12
FALSE,-0.0024,8/19/2026,26393.89,26331.09,26456.78,26185.13
FALSE,-0.0022,8/18/2026,26346.88,26289.71,26422.5,26266.68
FALSE,-0.0052,8/17/2026,26784.65,26644.91,26798.4,26626.37
FALSE,-0.0045,8/14/2026,26851.15,26729.16,26862.17,26661.95
TRUE,0.0064,8/13/2026,26631.34,26803.03,26875.52,26612.85
FALSE,-0.0034,8/12/2026,26680.47,26588.49,26688.24,26531.93
FALSE,-0.0085,8/11/2026,26672.17,26445.45,26679.26,26372.31
FALSE,-0.0028,8/10/2026,26680.44,26605.36,26724.63,26548.26
TRUE,0.0059,8/7/2026,26534.66,26690.62,26712.62,26478.01
TRUE,0.003,8/6/2026,26268.84,26348.35,26499.42,26208.43
FALSE,-0.0125,8/5/2026,26698.02,26363.44,26739,26348.51
TRUE,0.019,8/4/2026,26088.04,26584.99,26679.91,26088.04
TRUE,0.0181,8/3/2026,25452.66,25913.9,25967.44,25420.35
TRUE,0.0013,7/31/2026,25340.71,25373.85,25460.86,25004.33
TRUE,0.0109,7/30/2026,24852.05,25122.18,25171.44,24813.84
FALSE,-0.0169,7/29/2026,24863.48,24442.94,25054.53,24425.34
TRUE,0.0021,7/28/2026,24825.07,24876.91,24984.5,24581.01
FALSE,-0.0121,7/27/2026,25236.19,24932.08,25261.91,24774.87
FALSE,-0.0052,7/24/2026,25107.38,24975.82,25222.14,24918.09
FALSE,-0.0215,7/23/2026,25690.9,25137.69,25358.28,24954.77
FALSE,-0.0057,7/22/2026,25837.21,25690.9,25841.31,25681.32
TRUE,0.0129,7/21/2026,25508.07,25837.21,25880.34,25672.83
FALSE,-0.0005,7/20/2026,25520.24,25508.07,25815.6,25501.1
FALSE,-0.014,7/17/2026,25881.95,25520.24,25703.01,25250.63
FALSE,-0.0147,7/16/2026,26269.23,25881.95,26165.37,25765.45
TRUE,0.0062,7/15/2026,26107.01,26269.23,26316.81,26041.13
TRUE,0.009,7/14/2026,25873.18,26107.01,26168.8,25912.4
FALSE,-0.0155,7/13/2026,26281.61,25873.18,26139.37,25822.09
TRUE,0.0029,7/10/2026,26206.89,26281.61,26301.54,26009.49
TRUE,0.013,7/9/2026,25870.65,26206.89,26215.82,25825.85
TRUE,0.002,7/8/2026,25818.69,25870.65,25896.07,25526.46
FALSE,-0.0116,7/7/2026,26121.16,25818.69,26010.02,25684.15
TRUE,0.0112,7/6/2026,25832.67,26121.16,26209.76,25963.44
FALSE,-0.008,7/2/2026,26040.03,25832.67,26261.09,25630.51
FALSE,-0.0066,7/1/2026,26213.72,26040.03,26238.06,25954.46
TRUE,0.0152,6/30/2026,25820.14,26213.72,26253.04,25808.06
TRUE,0.0207,6/29/2026,25297.62,25820.14,25834.35,25289.76
FALSE,-0.0024,6/26/2026,25358.6,25297.62,25491.37,25014.96
FALSE,-0.0046,6/25/2026,25476.64,25358.6,25724.78,25123.43
FALSE,-0.0043,6/24/2026,25587.04,25476.64,25840.56,25354.66
FALSE,-0.0221,6/23/2026,26166.6,25587.04,25882.57,25513.26
FALSE,-0.0132,6/22/2026,26517.93,26166.6,26561.12,26125.48
TRUE,0.0191,6/18/2026,26021.66,26517.93,26559.74,26188.69
FALSE,-0.0178,6/17/2026,26493.82,26021.66,26511.55,25960.41
FALSE,-0.0103,6/16/2026,26649.97,26376.34,26788.62,26369.39
TRUE,0.009,6/15/2026,26447.23,26683.94,26687.56,26438.77
TRUE,0.0041,6/12/2026,25783.36,25888.84,26010.31,25599.94
TRUE,0.0198,6/11/2026,25309.78,25809.66,25846.56,25109.39
